ω,,,,,,,,,
=2*PI()*366.25/365.25,,,,,,,,,
n,θ,b,t0,t1,t2,t3,=A3,tn',tn
145,2.5141583849664,=(B150-B148)/2,=G148+1,=D149-($A$2*D149-2*$A149*PI()-$C149*(D149-$A149)-$B149)/($A$2-$C149),=E149-($A$2*E149-2*$A149*PI()-$C149*(E149-$A149)-$B149)/($A$2-$C149),=F149-($A$2*F149-2*$A149*PI()-$C149*(F149-$A149)-$B149)/($A$2-$C149),=A149,=J149-H149,=G149
146,2.53090309880393,=(B151-B149)/2,=G149+1,=D150-($A$2*D150-2*$A150*PI()-$C150*(D150-$A150)-$B150)/($A$2-$C150),=E150-($A$2*E150-2*$A150*PI()-$C150*(E150-$A150)-$B150)/($A$2-$C150),=F150-($A$2*F150-2*$A150*PI()-$C150*(F150-$A150)-$B150)/($A$2-$C150),=A150,=J150-H150,=G150
147,2.54764237033653,=(B152-B150)/2,=G150+1,=D151-($A$2*D151-2*$A151*PI()-$C151*(D151-$A151)-$B151)/($A$2-$C151),=E151-($A$2*E151-2*$A151*PI()-$C151*(E151-$A151)-$B151)/($A$2-$C151),=F151-($A$2*F151-2*$A151*PI()-$C151*(F151-$A151)-$B151)/($A$2-$C151),=A151,=J151-H151,=G151
148,2.56437633303155,=(B153-B151)/2,=G151+1,=D152-($A$2*D152-2*$A152*PI()-$C152*(D152-$A152)-$B152)/($A$2-$C152),=E152-($A$2*E152-2*$A152*PI()-$C152*(E152-$A152)-$B152)/($A$2-$C152),=F152-($A$2*F152-2*$A152*PI()-$C152*(F152-$A152)-$B152)/($A$2-$C152),=A152,=J152-H152,=G152
149,2.5811051216123,=(B154-B152)/2,=G152+1,=D153-($A$2*D153-2*$A153*PI()-$C153*(D153-$A153)-$B153)/($A$2-$C153),=E153-($A$2*E153-2*$A153*PI()-$C153*(E153-$A153)-$B153)/($A$2-$C153),=F153-($A$2*F153-2*$A153*PI()-$C153*(F153-$A153)-$B153)/($A$2-$C153),=A153,=J153-H153,=G153
150,2.59782887202292,=(B155-B153)/2,=G153+1,=D154-($A$2*D154-2*$A154*PI()-$C154*(D154-$A154)-$B154)/($A$2-$C154),=E154-($A$2*E154-2*$A154*PI()-$C154*(E154-$A154)-$B154)/($A$2-$C154),=F154-($A$2*F154-2*$A154*PI()-$C154*(F154-$A154)-$B154)/($A$2-$C154),=A154,=J154-H154,=G154
151,2.61454772139327,=(B156-B154)/2,=G154+1,=D155-($A$2*D155-2*$A155*PI()-$C155*(D155-$A155)-$B155)/($A$2-$C155),=E155-($A$2*E155-2*$A155*PI()-$C155*(E155-$A155)-$B155)/($A$2-$C155),=F155-($A$2*F155-2*$A155*PI()-$C155*(F155-$A155)-$B155)/($A$2-$C155),=A155,=J155-H155,=G155
152,2.63126180800379,=(B157-B155)/2,=G155+1,=D156-($A$2*D156-2*$A156*PI()-$C156*(D156-$A156)-$B156)/($A$2-$C156),=E156-($A$2*E156-2*$A156*PI()-$C156*(E156-$A156)-$B156)/($A$2-$C156),=F156-($A$2*F156-2*$A156*PI()-$C156*(F156-$A156)-$B156)/($A$2-$C156),=A156,=J156-H156,=G156
153,2.64797127125026,=(B158-B156)/2,=G156+1,=D157-($A$2*D157-2*$A157*PI()-$C157*(D157-$A157)-$B157)/($A$2-$C157),=E157-($A$2*E157-2*$A157*PI()-$C157*(E157-$A157)-$B157)/($A$2-$C157),=F157-($A$2*F157-2*$A157*PI()-$C157*(F157-$A157)-$B157)/($A$2-$C157),=A157,=J157-H157,=G157
154,2.66467625160867,=(B159-B157)/2,=G157+1,=D158-($A$2*D158-2*$A158*PI()-$C158*(D158-$A158)-$B158)/($A$2-$C158),=E158-($A$2*E158-2*$A158*PI()-$C158*(E158-$A158)-$B158)/($A$2-$C158),=F158-($A$2*F158-2*$A158*PI()-$C158*(F158-$A158)-$B158)/($A$2-$C158),=A158,=J158-H158,=G158
155,2.68137689059989,=(B160-B158)/2,=G158+1,=D159-($A$2*D159-2*$A159*PI()-$C159*(D159-$A159)-$B159)/($A$2-$C159),=E159-($A$2*E159-2*$A159*PI()-$C159*(E159-$A159)-$B159)/($A$2-$C159),=F159-($A$2*F159-2*$A159*PI()-$C159*(F159-$A159)-$B159)/($A$2-$C159),=A159,=J159-H159,=G159
156,2.6980733307545,=(B161-B159)/2,=G159+1,=D160-($A$2*D160-2*$A160*PI()-$C160*(D160-$A160)-$B160)/($A$2-$C160),=E160-($A$2*E160-2*$A160*PI()-$C160*(E160-$A160)-$B160)/($A$2-$C160),=F160-($A$2*F160-2*$A160*PI()-$C160*(F160-$A160)-$B160)/($A$2-$C160),=A160,=J160-H160,=G160
157,2.71476571557748,=(B162-B160)/2,=G160+1,=D161-($A$2*D161-2*$A161*PI()-$C161*(D161-$A161)-$B161)/($A$2-$C161),=E161-($A$2*E161-2*$A161*PI()-$C161*(E161-$A161)-$B161)/($A$2-$C161),=F161-($A$2*F161-2*$A161*PI()-$C161*(F161-$A161)-$B161)/($A$2-$C161),=A161,=J161-H161,=G161
158,2.73145418951296,=(B163-B161)/2,=G161+1,=D162-($A$2*D162-2*$A162*PI()-$C162*(D162-$A162)-$B162)/($A$2-$C162),=E162-($A$2*E162-2*$A162*PI()-$C162*(E162-$A162)-$B162)/($A$2-$C162),=F162-($A$2*F162-2*$A162*PI()-$C162*(F162-$A162)-$B162)/($A$2-$C162),=A162,=J162-H162,=G162
159,2.74813889790892,=(B164-B162)/2,=G162+1,=D163-($A$2*D163-2*$A163*PI()-$C163*(D163-$A163)-$B163)/($A$2-$C163),=E163-($A$2*E163-2*$A163*PI()-$C163*(E163-$A163)-$B163)/($A$2-$C163),=F163-($A$2*F163-2*$A163*PI()-$C163*(F163-$A163)-$B163)/($A$2-$C163),=A163,=J163-H163,=G163
160,2.76481998698187,=(B165-B163)/2,=G163+1,=D164-($A$2*D164-2*$A164*PI()-$C164*(D164-$A164)-$B164)/($A$2-$C164),=E164-($A$2*E164-2*$A164*PI()-$C164*(E164-$A164)-$B164)/($A$2-$C164),=F164-($A$2*F164-2*$A164*PI()-$C164*(F164-$A164)-$B164)/($A$2-$C164),=A164,=J164-H164,=G164
161,2.78149760378162,=(B166-B164)/2,=G164+1,=D165-($A$2*D165-2*$A165*PI()-$C165*(D165-$A165)-$B165)/($A$2-$C165),=E165-($A$2*E165-2*$A165*PI()-$C165*(E165-$A165)-$B165)/($A$2-$C165),=F165-($A$2*F165-2*$A165*PI()-$C165*(F165-$A165)-$B165)/($A$2-$C165),=A165,=J165-H165,=G165
162,2.79817189615589,=(B167-B165)/2,=G165+1,=D166-($A$2*D166-2*$A166*PI()-$C166*(D166-$A166)-$B166)/($A$2-$C166),=E166-($A$2*E166-2*$A166*PI()-$C166*(E166-$A166)-$B166)/($A$2-$C166),=F166-($A$2*F166-2*$A166*PI()-$C166*(F166-$A166)-$B166)/($A$2-$C166),=A166,=J166-H166,=G166
163,2.8148430127151,=(B168-B166)/2,=G166+1,=D167-($A$2*D167-2*$A167*PI()-$C167*(D167-$A167)-$B167)/($A$2-$C167),=E167-($A$2*E167-2*$A167*PI()-$C167*(E167-$A167)-$B167)/($A$2-$C167),=F167-($A$2*F167-2*$A167*PI()-$C167*(F167-$A167)-$B167)/($A$2-$C167),=A167,=J167-H167,=G167
164,2.83151110279698,=(B169-B167)/2,=G167+1,=D168-($A$2*D168-2*$A168*PI()-$C168*(D168-$A168)-$B168)/($A$2-$C168),=E168-($A$2*E168-2*$A168*PI()-$C168*(E168-$A168)-$B168)/($A$2-$C168),=F168-($A$2*F168-2*$A168*PI()-$C168*(F168-$A168)-$B168)/($A$2-$C168),=A168,=J168-H168,=G168
165,2.8481763164313,=(B170-B168)/2,=G168+1,=D169-($A$2*D169-2*$A169*PI()-$C169*(D169-$A169)-$B169)/($A$2-$C169),=E169-($A$2*E169-2*$A169*PI()-$C169*(E169-$A169)-$B169)/($A$2-$C169),=F169-($A$2*F169-2*$A169*PI()-$C169*(F169-$A169)-$B169)/($A$2-$C169),=A169,=J169-H169,=G169
166,2.8648388043046,=(B171-B169)/2,=G169+1,=D170-($A$2*D170-2*$A170*PI()-$C170*(D170-$A170)-$B170)/($A$2-$C170),=E170-($A$2*E170-2*$A170*PI()-$C170*(E170-$A170)-$B170)/($A$2-$C170),=F170-($A$2*F170-2*$A170*PI()-$C170*(F170-$A170)-$B170)/($A$2-$C170),=A170,=J170-H170,=G170
167,2.88149871772483,=(B172-B170)/2,=G170+1,=D171-($A$2*D171-2*$A171*PI()-$C171*(D171-$A171)-$B171)/($A$2-$C171),=E171-($A$2*E171-2*$A171*PI()-$C171*(E171-$A171)-$B171)/($A$2-$C171),=F171-($A$2*F171-2*$A171*PI()-$C171*(F171-$A171)-$B171)/($A$2-$C171),=A171,=J171-H171,=G171
168,2.8981562085861,=(B173-B171)/2,=G171+1,=D172-($A$2*D172-2*$A172*PI()-$C172*(D172-$A172)-$B172)/($A$2-$C172),=E172-($A$2*E172-2*$A172*PI()-$C172*(E172-$A172)-$B172)/($A$2-$C172),=F172-($A$2*F172-2*$A172*PI()-$C172*(F172-$A172)-$B172)/($A$2-$C172),=A172,=J172-H172,=G172
169,2.91481142933337,=(B174-B172)/2,=G172+1,=D173-($A$2*D173-2*$A173*PI()-$C173*(D173-$A173)-$B173)/($A$2-$C173),=E173-($A$2*E173-2*$A173*PI()-$C173*(E173-$A173)-$B173)/($A$2-$C173),=F173-($A$2*F173-2*$A173*PI()-$C173*(F173-$A173)-$B173)/($A$2-$C173),=A173,=J173-H173,=G173
170,2.93146453292715,=(B175-B173)/2,=G173+1,=D174-($A$2*D174-2*$A174*PI()-$C174*(D174-$A174)-$B174)/($A$2-$C174),=E174-($A$2*E174-2*$A174*PI()-$C174*(E174-$A174)-$B174)/($A$2-$C174),=F174-($A$2*F174-2*$A174*PI()-$C174*(F174-$A174)-$B174)/($A$2-$C174),=A174,=J174-H174,=G174
171,2.94811567280826,=(B176-B174)/2,=G174+1,=D175-($A$2*D175-2*$A175*PI()-$C175*(D175-$A175)-$B175)/($A$2-$C175),=E175-($A$2*E175-2*$A175*PI()-$C175*(E175-$A175)-$B175)/($A$2-$C175),=F175-($A$2*F175-2*$A175*PI()-$C175*(F175-$A175)-$B175)/($A$2-$C175),=A175,=J175-H175,=G175
172,2.96476500286249,=(B177-B175)/2,=G175+1,=D176-($A$2*D176-2*$A176*PI()-$C176*(D176-$A176)-$B176)/($A$2-$C176),=E176-($A$2*E176-2*$A176*PI()-$C176*(E176-$A176)-$B176)/($A$2-$C176),=F176-($A$2*F176-2*$A176*PI()-$C176*(F176-$A176)-$B176)/($A$2-$C176),=A176,=J176-H176,=G176
173,2.98141267738538,=(B178-B176)/2,=G176+1,=D177-($A$2*D177-2*$A177*PI()-$C177*(D177-$A177)-$B177)/($A$2-$C177),=E177-($A$2*E177-2*$A177*PI()-$C177*(E177-$A177)-$B177)/($A$2-$C177),=F177-($A$2*F177-2*$A177*PI()-$C177*(F177-$A177)-$B177)/($A$2-$C177),=A177,=J177-H177,=G177
174,2.99805885104695,=(B179-B177)/2,=G177+1,=D178-($A$2*D178-2*$A178*PI()-$C178*(D178-$A178)-$B178)/($A$2-$C178),=E178-($A$2*E178-2*$A178*PI()-$C178*(E178-$A178)-$B178)/($A$2-$C178),=F178-($A$2*F178-2*$A178*PI()-$C178*(F178-$A178)-$B178)/($A$2-$C178),=A178,=J178-H178,=G178
175,3.0147036788564,=(B180-B178)/2,=G178+1,=D179-($A$2*D179-2*$A179*PI()-$C179*(D179-$A179)-$B179)/($A$2-$C179),=E179-($A$2*E179-2*$A179*PI()-$C179*(E179-$A179)-$B179)/($A$2-$C179),=F179-($A$2*F179-2*$A179*PI()-$C179*(F179-$A179)-$B179)/($A$2-$C179),=A179,=J179-H179,=G179
176,3.03134731612689,=(B181-B179)/2,=G179+1,=D180-($A$2*D180-2*$A180*PI()-$C180*(D180-$A180)-$B180)/($A$2-$C180),=E180-($A$2*E180-2*$A180*PI()-$C180*(E180-$A180)-$B180)/($A$2-$C180),=F180-($A$2*F180-2*$A180*PI()-$C180*(F180-$A180)-$B180)/($A$2-$C180),=A180,=J180-H180,=G180
177,3.04798991844027,=(B182-B180)/2,=G180+1,=D181-($A$2*D181-2*$A181*PI()-$C181*(D181-$A181)-$B181)/($A$2-$C181),=E181-($A$2*E181-2*$A181*PI()-$C181*(E181-$A181)-$B181)/($A$2-$C181),=F181-($A$2*F181-2*$A181*PI()-$C181*(F181-$A181)-$B181)/($A$2-$C181),=A181,=J181-H181,=G181
178,3.06463164161183,=(B183-B181)/2,=G181+1,=D182-($A$2*D182-2*$A182*PI()-$C182*(D182-$A182)-$B182)/($A$2-$C182),=E182-($A$2*E182-2*$A182*PI()-$C182*(E182-$A182)-$B182)/($A$2-$C182),=F182-($A$2*F182-2*$A182*PI()-$C182*(F182-$A182)-$B182)/($A$2-$C182),=A182,=J182-H182,=G182
179,3.08127264165507,=(B184-B182)/2,=G182+1,=D183-($A$2*D183-2*$A183*PI()-$C183*(D183-$A183)-$B183)/($A$2-$C183),=E183-($A$2*E183-2*$A183*PI()-$C183*(E183-$A183)-$B183)/($A$2-$C183),=F183-($A$2*F183-2*$A183*PI()-$C183*(F183-$A183)-$B183)/($A$2-$C183),=A183,=J183-H183,=G183
180,3.09791307474646,=(B185-B183)/2,=G183+1,=D184-($A$2*D184-2*$A184*PI()-$C184*(D184-$A184)-$B184)/($A$2-$C184),=E184-($A$2*E184-2*$A184*PI()-$C184*(E184-$A184)-$B184)/($A$2-$C184),=F184-($A$2*F184-2*$A184*PI()-$C184*(F184-$A184)-$B184)/($A$2-$C184),=A184,=J184-H184,=G184
181,3.11455309719017,=(B186-B184)/2,=G184+1,=D185-($A$2*D185-2*$A185*PI()-$C185*(D185-$A185)-$B185)/($A$2-$C185),=E185-($A$2*E185-2*$A185*PI()-$C185*(E185-$A185)-$B185)/($A$2-$C185),=F185-($A$2*F185-2*$A185*PI()-$C185*(F185-$A185)-$B185)/($A$2-$C185),=A185,=J185-H185,=G185
182,3.13119286538289,=(B187-B185)/2,=G185+1,=D186-($A$2*D186-2*$A186*PI()-$C186*(D186-$A186)-$B186)/($A$2-$C186),=E186-($A$2*E186-2*$A186*PI()-$C186*(E186-$A186)-$B186)/($A$2-$C186),=F186-($A$2*F186-2*$A186*PI()-$C186*(F186-$A186)-$B186)/($A$2-$C186),=A186,=J186-H186,=G186
183,3.14783253577853,=(B188-B186)/2,=G186+1,=D187-($A$2*D187-2*$A187*PI()-$C187*(D187-$A187)-$B187)/($A$2-$C187),=E187-($A$2*E187-2*$A187*PI()-$C187*(E187-$A187)-$B187)/($A$2-$C187),=F187-($A$2*F187-2*$A187*PI()-$C187*(F187-$A187)-$B187)/($A$2-$C187),=A187,=J187-H187,=G187
184,3.16447226485304,=(B189-B187)/2,=G187+1,=D188-($A$2*D188-2*$A188*PI()-$C188*(D188-$A188)-$B188)/($A$2-$C188),=E188-($A$2*E188-2*$A188*PI()-$C188*(E188-$A188)-$B188)/($A$2-$C188),=F188-($A$2*F188-2*$A188*PI()-$C188*(F188-$A188)-$B188)/($A$2-$C188),=A188,=J188-H188,=G188
185,3.18111220906916,=(B190-B188)/2,=G188+1,=D189-($A$2*D189-2*$A189*PI()-$C189*(D189-$A189)-$B189)/($A$2-$C189),=E189-($A$2*E189-2*$A189*PI()-$C189*(E189-$A189)-$B189)/($A$2-$C189),=F189-($A$2*F189-2*$A189*PI()-$C189*(F189-$A189)-$B189)/($A$2-$C189),=A189,=J189-H189,=G189
186,3.19775252484117,=(B191-B189)/2,=G189+1,=D190-($A$2*D190-2*$A190*PI()-$C190*(D190-$A190)-$B190)/($A$2-$C190),=E190-($A$2*E190-2*$A190*PI()-$C190*(E190-$A190)-$B190)/($A$2-$C190),=F190-($A$2*F190-2*$A190*PI()-$C190*(F190-$A190)-$B190)/($A$2-$C190),=A190,=J190-H190,=G190
187,3.21439336849968,=(B192-B190)/2,=G190+1,=D191-($A$2*D191-2*$A191*PI()-$C191*(D191-$A191)-$B191)/($A$2-$C191),=E191-($A$2*E191-2*$A191*PI()-$C191*(E191-$A191)-$B191)/($A$2-$C191),=F191-($A$2*F191-2*$A191*PI()-$C191*(F191-$A191)-$B191)/($A$2-$C191),=A191,=J191-H191,=G191
188,3.23103489625639,=(B193-B191)/2,=G191+1,=D192-($A$2*D192-2*$A192*PI()-$C192*(D192-$A192)-$B192)/($A$2-$C192),=E192-($A$2*E192-2*$A192*PI()-$C192*(E192-$A192)-$B192)/($A$2-$C192),=F192-($A$2*F192-2*$A192*PI()-$C192*(F192-$A192)-$B192)/($A$2-$C192),=A192,=J192-H192,=G192
189,3.24767726416884,=(B194-B192)/2,=G192+1,=D193-($A$2*D193-2*$A193*PI()-$C193*(D193-$A193)-$B193)/($A$2-$C193),=E193-($A$2*E193-2*$A193*PI()-$C193*(E193-$A193)-$B193)/($A$2-$C193),=F193-($A$2*F193-2*$A193*PI()-$C193*(F193-$A193)-$B193)/($A$2-$C193),=A193,=J193-H193,=G193
190,3.26432062810518,=(B195-B193)/2,=G193+1,=D194-($A$2*D194-2*$A194*PI()-$C194*(D194-$A194)-$B194)/($A$2-$C194),=E194-($A$2*E194-2*$A194*PI()-$C194*(E194-$A194)-$B194)/($A$2-$C194),=F194-($A$2*F194-2*$A194*PI()-$C194*(F194-$A194)-$B194)/($A$2-$C194),=A194,=J194-H194,=G194
191,3.28096514370893,=(B196-B194)/2,=G194+1,=D195-($A$2*D195-2*$A195*PI()-$C195*(D195-$A195)-$B195)/($A$2-$C195),=E195-($A$2*E195-2*$A195*PI()-$C195*(E195-$A195)-$B195)/($A$2-$C195),=F195-($A$2*F195-2*$A195*PI()-$C195*(F195-$A195)-$B195)/($A$2-$C195),=A195,=J195-H195,=G195
192,3.29761096636371,=(B197-B195)/2,=G195+1,=D196-($A$2*D196-2*$A196*PI()-$C196*(D196-$A196)-$B196)/($A$2-$C196),=E196-($A$2*E196-2*$A196*PI()-$C196*(E196-$A196)-$B196)/($A$2-$C196),=F196-($A$2*F196-2*$A196*PI()-$C196*(F196-$A196)-$B196)/($A$2-$C196),=A196,=J196-H196,=G196
193,3.31425825115805,=(B198-B196)/2,=G196+1,=D197-($A$2*D197-2*$A197*PI()-$C197*(D197-$A197)-$B197)/($A$2-$C197),=E197-($A$2*E197-2*$A197*PI()-$C197*(E197-$A197)-$B197)/($A$2-$C197),=F197-($A$2*F197-2*$A197*PI()-$C197*(F197-$A197)-$B197)/($A$2-$C197),=A197,=J197-H197,=G197
194,3.33090715285003,=(B199-B197)/2,=G197+1,=D198-($A$2*D198-2*$A198*PI()-$C198*(D198-$A198)-$B198)/($A$2-$C198),=E198-($A$2*E198-2*$A198*PI()-$C198*(E198-$A198)-$B198)/($A$2-$C198),=F198-($A$2*F198-2*$A198*PI()-$C198*(F198-$A198)-$B198)/($A$2-$C198),=A198,=J198-H198,=G198
195,3.34755782583213,=(B200-B198)/2,=G198+1,=D199-($A$2*D199-2*$A199*PI()-$C199*(D199-$A199)-$B199)/($A$2-$C199),=E199-($A$2*E199-2*$A199*PI()-$C199*(E199-$A199)-$B199)/($A$2-$C199),=F199-($A$2*F199-2*$A199*PI()-$C199*(F199-$A199)-$B199)/($A$2-$C199),=A199,=J199-H199,=G199
196,3.36421042409589,=(B201-B199)/2,=G199+1,=D200-($A$2*D200-2*$A200*PI()-$C200*(D200-$A200)-$B200)/($A$2-$C200),=E200-($A$2*E200-2*$A200*PI()-$C200*(E200-$A200)-$B200)/($A$2-$C200),=F200-($A$2*F200-2*$A200*PI()-$C200*(F200-$A200)-$B200)/($A$2-$C200),=A200,=J200-H200,=G200
197,3.38086510119668,=(B202-B200)/2,=G200+1,=D201-($A$2*D201-2*$A201*PI()-$C201*(D201-$A201)-$B201)/($A$2-$C201),=E201-($A$2*E201-2*$A201*PI()-$C201*(E201-$A201)-$B201)/($A$2-$C201),=F201-($A$2*F201-2*$A201*PI()-$C201*(F201-$A201)-$B201)/($A$2-$C201),=A201,=J201-H201,=G201
198,3.39752201021839,=(B203-B201)/2,=G201+1,=D202-($A$2*D202-2*$A202*PI()-$C202*(D202-$A202)-$B202)/($A$2-$C202),=E202-($A$2*E202-2*$A202*PI()-$C202*(E202-$A202)-$B202)/($A$2-$C202),=F202-($A$2*F202-2*$A202*PI()-$C202*(F202-$A202)-$B202)/($A$2-$C202),=A202,=J202-H202,=G202
199,3.41418130373818,=(B204-B202)/2,=G202+1,=D203-($A$2*D203-2*$A203*PI()-$C203*(D203-$A203)-$B203)/($A$2-$C203),=E203-($A$2*E203-2*$A203*PI()-$C203*(E203-$A203)-$B203)/($A$2-$C203),=F203-($A$2*F203-2*$A203*PI()-$C203*(F203-$A203)-$B203)/($A$2-$C203),=A203,=J203-H203,=G203
200,3.43084313379117,=(B205-B203)/2,=G203+1,=D204-($A$2*D204-2*$A204*PI()-$C204*(D204-$A204)-$B204)/($A$2-$C204),=E204-($A$2*E204-2*$A204*PI()-$C204*(E204-$A204)-$B204)/($A$2-$C204),=F204-($A$2*F204-2*$A204*PI()-$C204*(F204-$A204)-$B204)/($A$2-$C204),=A204,=J204-H204,=G204
201,3.44750765183517,=(B206-B204)/2,=G204+1,=D205-($A$2*D205-2*$A205*PI()-$C205*(D205-$A205)-$B205)/($A$2-$C205),=E205-($A$2*E205-2*$A205*PI()-$C205*(E205-$A205)-$B205)/($A$2-$C205),=F205-($A$2*F205-2*$A205*PI()-$C205*(F205-$A205)-$B205)/($A$2-$C205),=A205,=J205-H205,=G205
202,3.46417500871537,=(B207-B205)/2,=G205+1,=D206-($A$2*D206-2*$A206*PI()-$C206*(D206-$A206)-$B206)/($A$2-$C206),=E206-($A$2*E206-2*$A206*PI()-$C206*(E206-$A206)-$B206)/($A$2-$C206),=F206-($A$2*F206-2*$A206*PI()-$C206*(F206-$A206)-$B206)/($A$2-$C206),=A206,=J206-H206,=G206
203,3.48084535462905,=(B208-B206)/2,=G206+1,=D207-($A$2*D207-2*$A207*PI()-$C207*(D207-$A207)-$B207)/($A$2-$C207),=E207-($A$2*E207-2*$A207*PI()-$C207*(E207-$A207)-$B207)/($A$2-$C207),=F207-($A$2*F207-2*$A207*PI()-$C207*(F207-$A207)-$B207)/($A$2-$C207),=A207,=J207-H207,=G207
204,3.49751883909026,=(B209-B207)/2,=G207+1,=D208-($A$2*D208-2*$A208*PI()-$C208*(D208-$A208)-$B208)/($A$2-$C208),=E208-($A$2*E208-2*$A208*PI()-$C208*(E208-$A208)-$B208)/($A$2-$C208),=F208-($A$2*F208-2*$A208*PI()-$C208*(F208-$A208)-$B208)/($A$2-$C208),=A208,=J208-H208,=G208
205,3.51419561089455,=(B210-B208)/2,=G208+1,=D209-($A$2*D209-2*$A209*PI()-$C209*(D209-$A209)-$B209)/($A$2-$C209),=E209-($A$2*E209-2*$A209*PI()-$C209*(E209-$A209)-$B209)/($A$2-$C209),=F209-($A$2*F209-2*$A209*PI()-$C209*(F209-$A209)-$B209)/($A$2-$C209),=A209,=J209-H209,=G209
206,3.53087581808364,=(B211-B209)/2,=G209+1,=D210-($A$2*D210-2*$A210*PI()-$C210*(D210-$A210)-$B210)/($A$2-$C210),=E210-($A$2*E210-2*$A210*PI()-$C210*(E210-$A210)-$B210)/($A$2-$C210),=F210-($A$2*F210-2*$A210*PI()-$C210*(F210-$A210)-$B210)/($A$2-$C210),=A210,=J210-H210,=G210
207,3.5475596079101,=(B212-B210)/2,=G210+1,=D211-($A$2*D211-2*$A211*PI()-$C211*(D211-$A211)-$B211)/($A$2-$C211),=E211-($A$2*E211-2*$A211*PI()-$C211*(E211-$A211)-$B211)/($A$2-$C211),=F211-($A$2*F211-2*$A211*PI()-$C211*(F211-$A211)-$B211)/($A$2-$C211),=A211,=J211-H211,=G211
208,3.5642471268021,=(B213-B211)/2,=G211+1,=D212-($A$2*D212-2*$A212*PI()-$C212*(D212-$A212)-$B212)/($A$2-$C212),=E212-($A$2*E212-2*$A212*PI()-$C212*(E212-$A212)-$B212)/($A$2-$C212),=F212-($A$2*F212-2*$A212*PI()-$C212*(F212-$A212)-$B212)/($A$2-$C212),=A212,=J212-H212,=G212
209,3.58093852032805,=(B214-B212)/2,=G212+1,=D213-($A$2*D213-2*$A213*PI()-$C213*(D213-$A213)-$B213)/($A$2-$C213),=E213-($A$2*E213-2*$A213*PI()-$C213*(E213-$A213)-$B213)/($A$2-$C213),=F213-($A$2*F213-2*$A213*PI()-$C213*(F213-$A213)-$B213)/($A$2-$C213),=A213,=J213-H213,=G213
210,3.59763393316135,=(B215-B213)/2,=G213+1,=D214-($A$2*D214-2*$A214*PI()-$C214*(D214-$A214)-$B214)/($A$2-$C214),=E214-($A$2*E214-2*$A214*PI()-$C214*(E214-$A214)-$B214)/($A$2-$C214),=F214-($A$2*F214-2*$A214*PI()-$C214*(F214-$A214)-$B214)/($A$2-$C214),=A214,=J214-H214,=G214
211,3.61433350904507,=(B216-B214)/2,=G214+1,=D215-($A$2*D215-2*$A215*PI()-$C215*(D215-$A215)-$B215)/($A$2-$C215),=E215-($A$2*E215-2*$A215*PI()-$C215*(E215-$A215)-$B215)/($A$2-$C215),=F215-($A$2*F215-2*$A215*PI()-$C215*(F215-$A215)-$B215)/($A$2-$C215),=A215,=J215-H215,=G215
212,3.6310373907567,=(B217-B215)/2,=G215+1,=D216-($A$2*D216-2*$A216*PI()-$C216*(D216-$A216)-$B216)/($A$2-$C216),=E216-($A$2*E216-2*$A216*PI()-$C216*(E216-$A216)-$B216)/($A$2-$C216),=F216-($A$2*F216-2*$A216*PI()-$C216*(F216-$A216)-$B216)/($A$2-$C216),=A216,=J216-H216,=G216
213,3.64774572007285,=(B218-B216)/2,=G216+1,=D217-($A$2*D217-2*$A217*PI()-$C217*(D217-$A217)-$B217)/($A$2-$C217),=E217-($A$2*E217-2*$A217*PI()-$C217*(E217-$A217)-$B217)/($A$2-$C217),=F217-($A$2*F217-2*$A217*PI()-$C217*(F217-$A217)-$B217)/($A$2-$C217),=A217,=J217-H217,=G217
214,3.66445863773402,=(B219-B217)/2,=G217+1,=D218-($A$2*D218-2*$A218*PI()-$C218*(D218-$A218)-$B218)/($A$2-$C218),=E218-($A$2*E218-2*$A218*PI()-$C218*(E218-$A218)-$B218)/($A$2-$C218),=F218-($A$2*F218-2*$A218*PI()-$C218*(F218-$A218)-$B218)/($A$2-$C218),=A218,=J218-H218,=G218
215,3.68117628340936,=(B220-B218)/2,=G218+1,=D219-($A$2*D219-2*$A219*PI()-$C219*(D219-$A219)-$B219)/($A$2-$C219),=E219-($A$2*E219-2*$A219*PI()-$C219*(E219-$A219)-$B219)/($A$2-$C219),=F219-($A$2*F219-2*$A219*PI()-$C219*(F219-$A219)-$B219)/($A$2-$C219),=A219,=J219-H219,=G219
216,3.69789879566142,=(B221-B219)/2,=G219+1,=D220-($A$2*D220-2*$A220*PI()-$C220*(D220-$A220)-$B220)/($A$2-$C220),=E220-($A$2*E220-2*$A220*PI()-$C220*(E220-$A220)-$B220)/($A$2-$C220),=F220-($A$2*F220-2*$A220*PI()-$C220*(F220-$A220)-$B220)/($A$2-$C220),=A220,=J220-H220,=G220
217,3.71462631191103,=(B222-B220)/2,=G220+1,=D221-($A$2*D221-2*$A221*PI()-$C221*(D221-$A221)-$B221)/($A$2-$C221),=E221-($A$2*E221-2*$A221*PI()-$C221*(E221-$A221)-$B221)/($A$2-$C221),=F221-($A$2*F221-2*$A221*PI()-$C221*(F221-$A221)-$B221)/($A$2-$C221),=A221,=J221-H221,=G221
