ω,,,,,,,,,
=2*PI()*366.25/365.25,,,,,,,,,
n,θ,b,t0,t1,t2,t3,=A3,tn',tn
32,0.568262836761565,=(B37-B35)/2,=G35+1,=D36-($A$2*D36-2*$A36*PI()-$C36*(D36-$A36)-$B36)/($A$2-$C36),=E36-($A$2*E36-2*$A36*PI()-$C36*(E36-$A36)-$B36)/($A$2-$C36),=F36-($A$2*F36-2*$A36*PI()-$C36*(F36-$A36)-$B36)/($A$2-$C36),=A36,=J36-H36,=G36
33,0.585957494014127,=(B38-B36)/2,=G36+1,=D37-($A$2*D37-2*$A37*PI()-$C37*(D37-$A37)-$B37)/($A$2-$C37),=E37-($A$2*E37-2*$A37*PI()-$C37*(E37-$A37)-$B37)/($A$2-$C37),=F37-($A$2*F37-2*$A37*PI()-$C37*(F37-$A37)-$B37)/($A$2-$C37),=A37,=J37-H37,=G37
34,0.603646450037034,=(B39-B37)/2,=G37+1,=D38-($A$2*D38-2*$A38*PI()-$C38*(D38-$A38)-$B38)/($A$2-$C38),=E38-($A$2*E38-2*$A38*PI()-$C38*(E38-$A38)-$B38)/($A$2-$C38),=F38-($A$2*F38-2*$A38*PI()-$C38*(F38-$A38)-$B38)/($A$2-$C38),=A38,=J38-H38,=G38
35,0.621329556649747,=(B40-B38)/2,=G38+1,=D39-($A$2*D39-2*$A39*PI()-$C39*(D39-$A39)-$B39)/($A$2-$C39),=E39-($A$2*E39-2*$A39*PI()-$C39*(E39-$A39)-$B39)/($A$2-$C39),=F39-($A$2*F39-2*$A39*PI()-$C39*(F39-$A39)-$B39)/($A$2-$C39),=A39,=J39-H39,=G39
36,0.639006667772293,=(B41-B39)/2,=G39+1,=D40-($A$2*D40-2*$A40*PI()-$C40*(D40-$A40)-$B40)/($A$2-$C40),=E40-($A$2*E40-2*$A40*PI()-$C40*(E40-$A40)-$B40)/($A$2-$C40),=F40-($A$2*F40-2*$A40*PI()-$C40*(F40-$A40)-$B40)/($A$2-$C40),=A40,=J40-H40,=G40
37,0.656677639472784,=(B42-B40)/2,=G40+1,=D41-($A$2*D41-2*$A41*PI()-$C41*(D41-$A41)-$B41)/($A$2-$C41),=E41-($A$2*E41-2*$A41*PI()-$C41*(E41-$A41)-$B41)/($A$2-$C41),=F41-($A$2*F41-2*$A41*PI()-$C41*(F41-$A41)-$B41)/($A$2-$C41),=A41,=J41-H41,=G41
38,0.674342330013793,=(B43-B41)/2,=G41+1,=D42-($A$2*D42-2*$A42*PI()-$C42*(D42-$A42)-$B42)/($A$2-$C42),=E42-($A$2*E42-2*$A42*PI()-$C42*(E42-$A42)-$B42)/($A$2-$C42),=F42-($A$2*F42-2*$A42*PI()-$C42*(F42-$A42)-$B42)/($A$2-$C42),=A42,=J42-H42,=G42
39,0.692000599897592,=(B44-B42)/2,=G42+1,=D43-($A$2*D43-2*$A43*PI()-$C43*(D43-$A43)-$B43)/($A$2-$C43),=E43-($A$2*E43-2*$A43*PI()-$C43*(E43-$A43)-$B43)/($A$2-$C43),=F43-($A$2*F43-2*$A43*PI()-$C43*(F43-$A43)-$B43)/($A$2-$C43),=A43,=J43-H43,=G43
40,0.709652311910228,=(B45-B43)/2,=G43+1,=D44-($A$2*D44-2*$A44*PI()-$C44*(D44-$A44)-$B44)/($A$2-$C44),=E44-($A$2*E44-2*$A44*PI()-$C44*(E44-$A44)-$B44)/($A$2-$C44),=F44-($A$2*F44-2*$A44*PI()-$C44*(F44-$A44)-$B44)/($A$2-$C44),=A44,=J44-H44,=G44
41,0.727297331164419,=(B46-B44)/2,=G44+1,=D45-($A$2*D45-2*$A45*PI()-$C45*(D45-$A45)-$B45)/($A$2-$C45),=E45-($A$2*E45-2*$A45*PI()-$C45*(E45-$A45)-$B45)/($A$2-$C45),=F45-($A$2*F45-2*$A45*PI()-$C45*(F45-$A45)-$B45)/($A$2-$C45),=A45,=J45-H45,=G45
